!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp1_enp132s0f0np0-1.pcap"
!host inetlab-04
!runtime 1542919806.930580605 (Thu Nov 22 21:50:06 2018)
!data timestamp payload_len
1542724495.218091 0
1542724495.278346 0
1542724495.278479 0
1542724495.278545 46
1542724495.338711 0
1542724495.340080 14480
1542724495.341444 0
1542724495.402921 28960
1542724495.404299 0
1542724495.464653 47784
1542724495.464811 0
1542724495.474351 10136
1542724495.475667 0
1542724495.525134 47784
1542724495.525286 0
1542724495.534837 47784
1542724495.534990 0
1542724495.544829 11584
1542724495.546157 0
1542724495.547249 8688
1542724495.548559 0
1542724495.585571 47784
1542724495.585754 0
1542724495.595271 31856
1542724495.596598 0
1542724495.601935 47784
1542724495.602082 0
1542724495.611925 47784
1542724495.612074 0
1542724495.621920 23168
1542724495.623232 0
1542724495.626736 26064
1542724495.628034 0
1542724495.632189 968
1542724495.633508 0
1542724495.645931 20272
1542724495.647263 0
1542724495.649879 480
1542724495.649958 47784
1542724495.650059 0
1542724495.650119 0
1542724495.659953 31856
1542724495.661282 0
1542724495.666614 47784
1542724495.666783 0
1542724495.676608 11584
1542724495.677920 0
1542724495.679027 47784
1542724495.679159 0
1542724495.689058 47784
1542724495.689206 0
1542724495.699015 1448
1542724495.699315 24616
1542724495.699403 0
1542724495.699434 0
1542724495.704504 47784
1542724495.704650 0
1542724495.714493 17376
1542724495.715852 0
1542724495.718129 46336
1542724495.719458 0
1542724495.727818 47784
1542724495.727952 0
1542724495.737774 5792
1542724495.738981 10136
1542724495.739062 0
1542724495.740246 0
1542724495.741101 33304
1542724495.742456 0
1542724495.748069 24616
1542724495.749413 0
1542724495.753216 41992
1542724495.754540 0
1542724495.762035 31856
1542724495.763387 0
1542724495.768694 47784
1542724495.768865 0
1542724495.778688 2896
1542724495.779253 33304
1542724495.779329 0
1542724495.779370 0
1542724495.786221 47784
1542724495.786364 0
1542724495.796212 47784
1542724495.796353 0
1542724495.806243 4344
1542724495.807112 47784
1542724495.807252 0
1542724495.807283 0
1542724495.817106 47784
1542724495.817250 0
1542724495.827097 47784
1542724495.827245 0
1542724495.837129 13032
1542724495.838423 0
1542724495.839815 47784
1542724495.839951 0
1542724495.849809 21720
1542724495.851107 0
1542724495.854352 47784
1542724495.854508 0
1542724495.864381 10136
1542724495.865717 0
1542724495.866463 47784
1542724495.866623 0
1542724495.876493 5792
1542724495.877664 39096
1542724495.877734 0
1542724495.878996 0
1542724495.885842 47784
1542724495.886018 0
1542724495.895838 43440
1542724495.897160 0
1542724495.904957 47784
1542724495.905153 0
1542724495.914949 47784
1542724495.915096 0
1542724495.924941 11584
1542724495.926291 0
1542724495.927325 23168
1542724495.928652 0
1542724495.932208 47784
1542724495.932378 0
1542724495.942200 17376
1542724495.943553 0
1542724495.945795 18824
1542724495.945936 0
1542724495.949770 23168
1542724495.951161 0
1542724495.954579 47784
1542724495.954750 0
1542724495.964571 40544
1542724495.965877 0
1542724495.973086 47784
1542724495.973235 0
1542724495.983039 10136
1542724495.984294 0
1542724495.985160 47784
1542724495.985308 0
1542724495.995192 47784
1542724495.995338 0
1542724496.005144 8688
1542724496.006451 0
1542724496.006960 8688
1542724496.008243 0
1542724496.008776 47784
1542724496.008912 0
1542724496.018772 8688
1542724496.020042 0
1542724496.020586 47784
1542724496.020709 0
1542724496.030618 47784
1542724496.030762 0
1542724496.040572 8688
1542724496.041853 0
1542724496.042387 47784
1542724496.042507 0
1542724496.052381 44888
1542724496.053752 0
1542724496.061768 47784
1542724496.061921 0
1542724496.071799 2896
1542724496.072365 47784
1542724496.072454 0
1542724496.072486 0
1542724496.082396 4344
1542724496.083266 47784
1542724496.083352 0
1542724496.083380 0
1542724496.093260 11584
1542724496.094555 0
1542724496.095680 47784
1542724496.095844 0
1542724496.105676 5792
1542724496.106883 23168
1542724496.106965 0
1542724496.108224 0
1542724496.111767 47784
1542724496.111954 0
1542724496.121761 10136
1542724496.123057 0
1542724496.123841 14480
1542724496.123983 0
1542724496.126871 30408
1542724496.128266 0
1542724496.133268 10136
1542724496.134527 0
